series,episode,first_name,last_name,baker_occupation,baker_age,hometown,technical,result,signature_bake,show_stopper
5,8,Chetna,Makan,Fashion Designer,35,"Broadstairs, Kent",1,IN,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts
5,8,Diana,Beard,Women's Institute (WI) Judge,69,"Alkington, Shropshire",NA,IN,NA,NA
5,8,Luis,Troyano,Graphic Designer,42,"Poynton, Cheshire",2,IN,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)"
5,8,Nancy,Birtwhistle,Retired Practice Manager,60,"Barton-upon-Humber, Lincolnshire",3,IN,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)"
5,8,Martha,Collison,Student,17,"Ascot, Berkshire",5,OUT,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts
5,8,Richard,Burr,Builder,38,"Mill Hill, London",4,STAR BAKER,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts
5,8,Claire,Goodwin,Speech Therapist,31,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,8,Enwezor,Nzegwu,Business Consultant,39,"Portsmouth, Hampshire",NA,NA,NA,NA
5,8,Iain,Watters,Construction Engineer,31,London/Belfast,NA,NA,NA,NA
5,8,Jordan,Cox,IT Manager,32,"Sneinton, Nottingham",NA,NA,NA,NA
5,8,Kate,Henry,Furniture Restorer,41,"Brighton, East Sussex",NA,NA,NA,NA
5,8,Norman,Calder,Retired Naval Officer,66,"Portknockie, Moray",NA,NA,NA,NA
5,9,Diana,Beard,Women's Institute (WI) Judge,69,"Alkington, Shropshire",NA,IN,NA,NA
5,9,Luis,Troyano,Graphic Designer,42,"Poynton, Cheshire",1,IN,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges"
5,9,Nancy,Birtwhistle,Retired Practice Manager,60,"Barton-upon-Humber, Lincolnshire",3,IN,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets
5,9,Chetna,Makan,Fashion Designer,35,"Broadstairs, Kent",4,OUT,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets"
5,9,Richard,Burr,Builder,38,"Mill Hill, London",2,STAR BAKER,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets
5,9,Claire,Goodwin,Speech Therapist,31,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,9,Enwezor,Nzegwu,Business Consultant,39,"Portsmouth, Hampshire",NA,NA,NA,NA
5,9,Iain,Watters,Construction Engineer,31,London/Belfast,NA,NA,NA,NA
5,9,Jordan,Cox,IT Manager,32,"Sneinton, Nottingham",NA,NA,NA,NA
5,9,Kate,Henry,Furniture Restorer,41,"Brighton, East Sussex",NA,NA,NA,NA
5,9,Martha,Collison,Student,17,"Ascot, Berkshire",NA,NA,NA,NA
5,9,Norman,Calder,Retired Naval Officer,66,"Portknockie, Moray",NA,NA,NA,NA
5,10,Diana,Beard,Women's Institute (WI) Judge,69,"Alkington, Shropshire",NA,IN,NA,NA
5,10,Luis,Troyano,Graphic Designer,42,"Poynton, Cheshire",2,Runner-up,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate
5,10,Richard,Burr,Builder,38,"Mill Hill, London",3,Runner-up,Pear Pain au ChocolatPain Au Lait,Mill on the Hill
5,10,Nancy,Birtwhistle,Retired Practice Manager,60,"Barton-upon-Humber, Lincolnshire",1,WINNER,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill
5,10,Chetna,Makan,Fashion Designer,35,"Broadstairs, Kent",NA,NA,NA,NA
5,10,Claire,Goodwin,Speech Therapist,31,"Ashton upon Mersey, Trafford",NA,NA,NA,NA
5,10,Enwezor,Nzegwu,Business Consultant,39,"Portsmouth, Hampshire",NA,NA,NA,NA
5,10,Iain,Watters,Construction Engineer,31,London/Belfast,NA,NA,NA,NA
5,10,Jordan,Cox,IT Manager,32,"Sneinton, Nottingham",NA,NA,NA,NA
5,10,Kate,Henry,Furniture Restorer,41,"Brighton, East Sussex",NA,NA,NA,NA
5,10,Martha,Collison,Student,17,"Ascot, Berkshire",NA,NA,NA,NA
5,10,Norman,Calder,Retired Naval Officer,66,"Portknockie, Moray",NA,NA,NA,NA
6,1,Alvin,Magallanes,Nurse,37,"Bracknell, Berkshire",2,IN,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau
6,1,Dorret,Conway,Accountant,53,"Penwortham, Lancashire",5,IN,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau
6,1,Flora,Shedden,Art gallery assistant,19,"Dunkeld, Perth and Kinross",6,IN,Blood Orange Madeira Cake,Black Forest Gâteau
6,1,Ian,Cumming,Travel photographer,41,"Great Wilbraham, Cambridgeshire",8,IN,Somewhere West of Madeira Cake,Black Forest Cherry Tree
6,1,Mat,Riley,Fire fighter,37,London,7,IN,Gin and Tonic Madeira Cake,Black Forest Gateau
6,1,Nadiya,Hussain,Full-time mother,30,Leeds / Luton,12,IN,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau
6,1,Paul,Jagger,Prison governor,49,"Swansea, Wales",10,IN,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation
6,1,Sandy,Docherty,Child welfare officer,49,"Yeadon, West Yorkshire",9,IN,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau
6,1,Tamal,Ray,Trainee anaesthetist,29,Manchester,4,IN,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell
6,1,Ugnė,Bubnaityte,PA and administrator,32,"Woodford, London / Vilkaviškis, Lithuania",1,IN,Lemon and Thyme Madeira Cake,Falling Cup Gâteau
6,1,Stu,Henshall,Professional musician,35,"Guildford, Surrey",11,OUT,Marley Madeira Cake,Purple Forest Gâteau
6,1,Marie,Campbell,Retired,66,"Auchterarder, Perthshire",3,STAR BAKER,Zingy Citrus Madeira Cake,A Walk in the Black Forest
6,2,Alvin,Magallanes,Nurse,37,"Bracknell, Berkshire",6,IN,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps
6,2,Dorret,Conway,Accountant,53,"Penwortham, Lancashire",1,IN,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs
6,2,Flora,Shedden,Art gallery assistant,19,"Dunkeld, Perth and Kinross",2,IN,Wedding Biscotti,Honey and Earl Grey Tea Box
6,2,Mat,Riley,Fire fighter,37,London,5,IN,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine
6,2,Nadiya,Hussain,Full-time mother,30,Leeds / Luton,9,IN,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes
6,2,Paul,Jagger,Prison governor,49,"Swansea, Wales",10,IN,"Chocolate, Hazelnut and Fig Biscotti",Memory Box
6,2,Sandy,Docherty,Child welfare officer,49,"Yeadon, West Yorkshire",4,IN,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box
6,2,Tamal,Ray,Trainee anaesthetist,29,Manchester,8,IN,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box
6,2,Ugnė,Bubnaityte,PA and administrator,32,"Woodford, London / Vilkaviškis, Lithuania",7,IN,White Wine Biscotti,Baby Climbing into the Cookie Box
6,2,Marie,Campbell,Retired,66,"Auchterarder, Perthshire",11,OUT,Biscotti Italiano,Russian Box
6,2,Ian,Cumming,Travel photographer,41,"Great Wilbraham, Cambridgeshire",3,STAR BAKER,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture
6,2,Stu,Henshall,Professional musician,35,"Guildford, Surrey",NA,NA,NA,NA
6,3,Alvin,Magallanes,Nurse,37,"Bracknell, Berkshire",4,IN,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia
6,3,Flora,Shedden,Art gallery assistant,19,"Dunkeld, Perth and Kinross",2,IN,Fig and Hazelnut Rye Breads,Herb Couture
6,3,Mat,Riley,Fire fighter,37,London,8,IN,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion
6,3,Nadiya,Hussain,Full-time mother,30,Leeds / Luton,9,IN,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket
6,3,Paul,Jagger,Prison governor,49,"Swansea, Wales",10,IN,Cranberry and Orange Sweet Soda Breads,King of the Jungle
6,3,Sandy,Docherty,Child welfare officer,49,"Yeadon, West Yorkshire",7,IN,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre
6,3,Tamal,Ray,Trainee anaesthetist,29,Manchester,3,IN,"Fig, Cheese and Walnut Breads",Breadcycle
6,3,Ugnė,Bubnaityte,PA and administrator,32,"Woodford, London / Vilkaviškis, Lithuania",5,IN,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket
6,3,Dorret,Conway,Accountant,53,"Penwortham, Lancashire",6,OUT,Walnut and Stilton Soda Breads,Unmade Bread
6,3,Ian,Cumming,Travel photographer,41,"Great Wilbraham, Cambridgeshire",1,STAR BAKER,Wild Garlic Pesto Soda Breads,Flour Power
6,3,Marie,Campbell,Retired,66,"Auchterarder, Perthshire",NA,NA,NA,NA
6,3,Stu,Henshall,Professional musician,35,"Guildford, Surrey",NA,NA,NA,NA
6,4,Alvin,Magallanes,Nurse,37,"Bracknell, Berkshire",9,IN,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes
6,4,Flora,Shedden,Art gallery assistant,19,"Dunkeld, Perth and Kinross",3,IN,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes
6,4,Mat,Riley,Fire fighter,37,London,7,IN,Coconut Crème Brûlées,Chocolate Bar Cheesecakes
6,4,Nadiya,Hussain,Full-time mother,30,Leeds / Luton,8,IN,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes
6,4,Paul,Jagger,Prison governor,49,"Swansea, Wales",1,IN,Almond Crème Brûlées,Berry Cheesecake Tower
6,4,Tamal,Ray,Trainee anaesthetist,29,Manchester,5,IN,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio"
6,4,Ugnė,Bubnaityte,PA and administrator,32,"Woodford, London / Vilkaviškis, Lithuania",2,IN,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes"
6,4,Sandy,Docherty,Child welfare officer,49,"Yeadon, West Yorkshire",6,OUT,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes"
6,4,Ian,Cumming,Travel photographer,41,"Great Wilbraham, Cambridgeshire",4,STAR BAKER,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes
6,4,Dorret,Conway,Accountant,53,"Penwortham, Lancashire",NA,NA,NA,NA
6,4,Marie,Campbell,Retired,66,"Auchterarder, Perthshire",NA,NA,NA,NA
6,4,Stu,Henshall,Professional musician,35,"Guildford, Surrey",NA,NA,NA,NA
6,5,Alvin,Magallanes,Nurse,37,"Bracknell, Berkshire",8,IN,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
6,5,Flora,Shedden,Art gallery assistant,19,"Dunkeld, Perth and Kinross",3,IN,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche
6,5,Ian,Cumming,Travel photographer,41,"Great Wilbraham, Cambridgeshire",5,IN,Honey and Flowers Cake,Dessert Island
6,5,Mat,Riley,Fire fighter,37,London,4,IN,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll
6,5,Paul,Jagger,Prison governor,49,"Swansea, Wales",2,IN,Carrot & Pecan Cake,Dessert Island Getaway
6,5,Tamal,Ray,Trainee anaesthetist,29,Manchester,7,IN,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll
6,5,Ugnė,Bubnaityte,PA and administrator,32,"Woodford, London / Vilkaviškis, Lithuania",6,OUT,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll"
6,5,Nadiya,Hussain,Full-time mother,30,Leeds / Luton,1,STAR BAKER,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll
6,5,Dorret,Conway,Accountant,53,"Penwortham, Lancashire",NA,NA,NA,NA
6,5,Marie,Campbell,Retired,66,"Auchterarder, Perthshire",NA,NA,NA,NA
6,5,Sandy,Docherty,Child welfare officer,49,"Yeadon, West Yorkshire",NA,NA,NA,NA
6,5,Stu,Henshall,Professional musician,35,"Guildford, Surrey",NA,NA,NA,NA
6,6,Flora,Shedden,Art gallery assistant,19,"Dunkeld, Perth and Kinross",2,IN,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents
6,6,Ian,Cumming,Travel photographer,41,"Great Wilbraham, Cambridgeshire",3,IN,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer
6,6,Nadiya,Hussain,Full-time mother,30,Leeds / Luton,4,IN,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents
6,6,Paul,Jagger,Prison governor,49,"Swansea, Wales",5,IN,Christmas Frangipane Tart,Savoury and Sweet Bouchées
6,6,Tamal,Ray,Trainee anaesthetist,29,Manchester,7,IN,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents
6,6,Alvin,Magallanes,Nurse,37,"Bracknell, Berkshire",6,OUT,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
6,6,Mat,Riley,Fire fighter,37,London,1,STAR BAKER,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents
6,6,Dorret,Conway,Accountant,53,"Penwortham, Lancashire",NA,NA,NA,NA
6,6,Marie,Campbell,Retired,66,"Auchterarder, Perthshire",NA,NA,NA,NA
6,6,Sandy,Docherty,Child welfare officer,49,"Yeadon, West Yorkshire",NA,NA,NA,NA
6,6,Stu,Henshall,Professional musician,35,"Guildford, Surrey",NA,NA,NA,NA
6,6,Ugnė,Bubnaityte,PA and administrator,32,"Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
6,7,Flora,Shedden,Art gallery assistant,19,"Dunkeld, Perth and Kinross",4,IN,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe"
6,7,Ian,Cumming,Travel photographer,41,"Great Wilbraham, Cambridgeshire",5,IN,Roadkill Pie,Victoria's Crown Charlotte Russe
6,7,Nadiya,Hussain,Full-time mother,30,Leeds / Luton,1,IN,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe
6,7,Paul,Jagger,Prison governor,49,"Swansea, Wales",2,IN,Not a Boaring Pie,Charlotte Rose
6,7,Mat,Riley,Fire fighter,37,London,6,OUT,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe
6,7,Tamal,Ray,Trainee anaesthetist,29,Manchester,3,STAR BAKER,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe"
6,7,Alvin,Magallanes,Nurse,37,"Bracknell, Berkshire",NA,NA,NA,NA
6,7,Dorret,Conway,Accountant,53,"Penwortham, Lancashire",NA,NA,NA,NA
6,7,Marie,Campbell,Retired,66,"Auchterarder, Perthshire",NA,NA,NA,NA
6,7,Sandy,Docherty,Child welfare officer,49,"Yeadon, West Yorkshire",NA,NA,NA,NA
6,7,Stu,Henshall,Professional musician,35,"Guildford, Surrey",NA,NA,NA,NA
6,7,Ugnė,Bubnaityte,PA and administrator,32,"Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
6,8,Flora,Shedden,Art gallery assistant,19,"Dunkeld, Perth and Kinross",3,IN,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne
6,8,Ian,Cumming,Travel photographer,41,"Great Wilbraham, Cambridgeshire",2,IN,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions
6,8,Tamal,Ray,Trainee anaesthetist,29,Manchester,4,IN,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne
6,8,Paul,Jagger,Prison governor,49,"Swansea, Wales",5,OUT,Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne
6,8,Nadiya,Hussain,Full-time mother,30,Leeds / Luton,1,STAR BAKER,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne
6,8,Alvin,Magallanes,Nurse,37,"Bracknell, Berkshire",NA,NA,NA,NA
6,8,Dorret,Conway,Accountant,53,"Penwortham, Lancashire",NA,NA,NA,NA
6,8,Marie,Campbell,Retired,66,"Auchterarder, Perthshire",NA,NA,NA,NA
6,8,Mat,Riley,Fire fighter,37,London,NA,NA,NA,NA
6,8,Sandy,Docherty,Child welfare officer,49,"Yeadon, West Yorkshire",NA,NA,NA,NA
6,8,Stu,Henshall,Professional musician,35,"Guildford, Surrey",NA,NA,NA,NA
6,8,Ugnė,Bubnaityte,PA and administrator,32,"Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
6,9,Ian,Cumming,Travel photographer,41,"Great Wilbraham, Cambridgeshire",3,IN,Chocolate and Bay Tart,Chocolate Well
6,9,Tamal,Ray,Trainee anaesthetist,29,Manchester,2,IN,Chocolate New York Pie,Chocolate Bell Tower
6,9,Flora,Shedden,Art gallery assistant,19,"Dunkeld, Perth and Kinross",1,OUT,Passion Fruit and Chocolate Tart,Cocoa Carousel
6,9,Nadiya,Hussain,Full-time mother,30,Leeds / Luton,4,STAR BAKER,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door
6,9,Alvin,Magallanes,Nurse,37,"Bracknell, Berkshire",NA,NA,NA,NA
6,9,Dorret,Conway,Accountant,53,"Penwortham, Lancashire",NA,NA,NA,NA
6,9,Marie,Campbell,Retired,66,"Auchterarder, Perthshire",NA,NA,NA,NA
6,9,Mat,Riley,Fire fighter,37,London,NA,NA,NA,NA
6,9,Paul,Jagger,Prison governor,49,"Swansea, Wales",NA,NA,NA,NA
6,9,Sandy,Docherty,Child welfare officer,49,"Yeadon, West Yorkshire",NA,NA,NA,NA
6,9,Stu,Henshall,Professional musician,35,"Guildford, Surrey",NA,NA,NA,NA
6,9,Ugnė,Bubnaityte,PA and administrator,32,"Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
6,10,Ian,Cumming,Travel photographer,41,"Great Wilbraham, Cambridgeshire",2,Runner-up,Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake
6,10,Tamal,Ray,Trainee anaesthetist,29,Manchester,3,Runner-up,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake
6,10,Nadiya,Hussain,Full-time mother,30,Leeds / Luton,1,WINNER,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake
6,10,Alvin,Magallanes,Nurse,37,"Bracknell, Berkshire",NA,NA,NA,NA
6,10,Dorret,Conway,Accountant,53,"Penwortham, Lancashire",NA,NA,NA,NA
6,10,Flora,Shedden,Art gallery assistant,19,"Dunkeld, Perth and Kinross",NA,NA,NA,NA
6,10,Marie,Campbell,Retired,66,"Auchterarder, Perthshire",NA,NA,NA,NA
6,10,Mat,Riley,Fire fighter,37,London,NA,NA,NA,NA
6,10,Paul,Jagger,Prison governor,49,"Swansea, Wales",NA,NA,NA,NA
6,10,Sandy,Docherty,Child welfare officer,49,"Yeadon, West Yorkshire",NA,NA,NA,NA
6,10,Stu,Henshall,Professional musician,35,"Guildford, Surrey",NA,NA,NA,NA
6,10,Ugnė,Bubnaityte,PA and administrator,32,"Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA
7,1,Andrew,Smyth,Aerospace engineer,25,"Derby / Holywood, County Down",12,IN,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake
7,1,Benjamina,Ebuehi,Teaching assistant,23,South London,6,IN,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream
7,1,Candice,Brown,PE teacher,31,"Barton-Le-Clay, Bedfordshire",5,IN,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
7,1,Kate,Barmby,Nurse,37,"Brooke, Norfolk",4,IN,Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake
7,1,Louise,Williams,Hairdresser,46,Cardiff,9,IN,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake
7,1,Michael,Georgiou,Student,20,Durham,3,IN,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze
7,1,Rav,Bansal,Student support,28,Erith,8,IN,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake
7,1,Selasi,Gbormittah,Client service associate,30,London,1,IN,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake"
7,1,Tom,Gilliford,Project engagement manager,26,Rochdale,2,IN,G&T Drizzle Cake,Black Forest Broken Mirror
7,1,Val,Stones,"Semi-retired, Substitute teacher",66,Yeovil,10,IN,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting
7,1,Lee,Banfield,Pastor,67,Bolton,11,OUT,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake
7,1,Jane,Beedle,Garden designer,61,Beckenham,7,STAR BAKER,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake
7,2,Andrew,Smyth,Aerospace engineer,25,"Derby / Holywood, County Down",4,IN,Beehive Biscuits,Punting in Cambridge
7,2,Benjamina,Ebuehi,Teaching assistant,23,South London,3,IN,Bouquet Biscuits,"New York, New York"
7,2,Jane,Beedle,Garden designer,61,Beckenham,2,IN,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat
7,2,Kate,Barmby,Nurse,37,"Brooke, Norfolk",1,IN,"""A Biscuit for the Broads""","""I Promise I will do my best"""
7,2,Michael,Georgiou,Student,20,Durham,9,IN,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland
7,2,Rav,Bansal,Student support,28,Erith,6,IN,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground
7,2,Selasi,Gbormittah,Client service associate,30,London,11,IN,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church
7,2,Tom,Gilliford,Project engagement manager,26,Rochdale,7,IN,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience
7,2,Val,Stones,"Semi-retired, Substitute teacher",66,Yeovil,5,IN,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire
7,2,Louise,Williams,Hairdresser,46,Cardiff,10,OUT,Baa Bara Brith Biscuits,Gingerbread Wedding
7,2,Candice,Brown,PE teacher,31,"Barton-Le-Clay, Bedfordshire",8,STAR BAKER,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet
7,2,Lee,Banfield,Pastor,67,Bolton,NA,NA,NA,NA
7,3,Andrew,Smyth,Aerospace engineer,25,"Derby / Holywood, County Down",2,IN,Chocolate Barmbrack Bread,Braided Harvest Bread Basket
7,3,Benjamina,Ebuehi,Teaching assistant,23,South London,6,IN,"Chocolate, Tahini and Almond Babka",Braided Bread Heart
7,3,Candice,Brown,PE teacher,31,"Barton-Le-Clay, Bedfordshire",3,IN,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist
7,3,Jane,Beedle,Garden designer,61,Beckenham,9,IN,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre
7,3,Kate,Barmby,Nurse,37,"Brooke, Norfolk",8,IN,Cobbled Loaf,The Corn Maiden
7,3,Rav,Bansal,Student support,28,Erith,10,IN,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece
7,3,Selasi,Gbormittah,Client service associate,30,London,5,IN,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread
7,3,Val,Stones,"Semi-retired, Substitute teacher",66,Yeovil,1,IN,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain"""
7,3,Michael,Georgiou,Student,20,Durham,7,OUT,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous
7,3,Tom,Gilliford,Project engagement manager,26,Rochdale,4,STAR BAKER,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir
7,3,Lee,Banfield,Pastor,67,Bolton,NA,NA,NA,NA
7,3,Louise,Williams,Hairdresser,46,Cardiff,NA,NA,NA,NA
7,4,Andrew,Smyth,Aerospace engineer,25,"Derby / Holywood, County Down",4,IN,Yorkshire 'Tapas' Puddings,Churros Window Box
7,4,Candice,Brown,PE teacher,31,"Barton-Le-Clay, Bedfordshire",2,IN,Yorkshire Wellingtons,Two-Way Peanut Butter Churros
7,4,Jane,Beedle,Garden designer,61,Beckenham,3,IN,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros
7,4,Rav,Bansal,Student support,28,Erith,9,IN,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros
7,4,Selasi,Gbormittah,Client service associate,30,London,8,IN,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros
7,4,Tom,Gilliford,Project engagement manager,26,Rochdale,5,IN,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass
7,4,Val,Stones,"Semi-retired, Substitute teacher",66,Yeovil,6,IN,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros
7,4,Kate,Barmby,Nurse,37,"Brooke, Norfolk",7,OUT,Christmas Dinner Compromise,Hot Cross Bunny Churros
7,4,Benjamina,Ebuehi,Teaching assistant,23,South London,1,STAR BAKER,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros
7,4,Lee,Banfield,Pastor,67,Bolton,NA,NA,NA,NA
7,4,Louise,Williams,Hairdresser,46,Cardiff,NA,NA,NA,NA
7,4,Michael,Georgiou,Student,20,Durham,NA,NA,NA,NA
7,5,Andrew,Smyth,Aerospace engineer,25,"Derby / Holywood, County Down",6,IN,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites
7,5,Benjamina,Ebuehi,Teaching assistant,23,South London,5,IN,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups
7,5,Jane,Beedle,Garden designer,61,Beckenham,1,IN,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones"
7,5,Rav,Bansal,Student support,28,Erith,8,IN,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas
7,5,Selasi,Gbormittah,Client service associate,30,London,3,IN,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups"
7,5,Tom,Gilliford,Project engagement manager,26,Rochdale,4,IN,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche
